Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Other,Other,A.28,0,2021-04-18
Other,Other,A.28,0,2021-07-25
Other,Other,A.29,0.001,2021-01-24
Other,Other,A.29,0.001,2021-01-31
Other,Other,A.29,0.002,2021-02-07
Other,Other,A.29,0.001,2021-02-14
Other,Other,A.29,0,2021-03-21
Other,Other,A.3,0.002,2020-03-15
Other,Other,A.3,0.005,2020-03-22
Other,Other,A.4,0.001,2020-03-29
Other,Other,A.5,0.005,2020-03-15
Other,Other,A.5,0.001,2020-03-22
Other,Other,AB.1,0.001,2021-01-24
Other,Other,AD.2,0.005,2020-07-26
Other,Other,AE.2,0,2021-02-07
Other,Other,AE.4,0.005,2020-10-25
Other,Other,AE.4,0.001,2020-11-08
Other,Other,AE.8,0.012,2019-12-29
Other,Other,AE.8,0.016,2020-07-19
Other,Other,AE.8,0.026,2020-07-26
Other,Other,AE.8,0.05,2020-08-02
Other,Other,AE.8,0.052,2020-08-09
Other,Other,AE.8,0.077,2020-08-16
Other,Other,AE.8,0.209,2020-08-23
Other,Other,AE.8,0.232,2020-08-30
Other,Other,AE.8,0.314,2020-09-06
Other,Other,AE.8,0.328,2020-09-13
Other,Other,AE.8,0.244,2020-09-20
Other,Other,AE.8,0.166,2020-09-27
Other,Other,AE.8,0.204,2020-10-04
Other,Other,AE.8,0.204,2020-10-11
Other,Other,AE.8,0.194,2020-10-18
Other,Other,AE.8,0.199,2020-10-25
Other,Other,AE.8,0.106,2020-11-01
Other,Other,AE.8,0.09,2020-11-08
Other,Other,AE.8,0.135,2020-11-15
Other,Other,AE.8,0.076,2020-11-22
Other,Other,AE.8,0.051,2020-11-29
Other,Other,AE.8,0.054,2020-12-06
Other,Other,AE.8,0.03,2020-12-13
Other,Other,AE.8,0.022,2020-12-20
Other,Other,AE.8,0.016,2020-12-27
Other,Other,AE.8,0.024,2021-01-03
Other,Other,AE.8,0.031,2021-01-10
Other,Other,AE.8,0.025,2021-01-17
Other,Other,AE.8,0.029,2021-01-24
Other,Other,AE.8,0.021,2021-01-31
Other,Other,AE.8,0.017,2021-02-07
Other,Other,AE.8,0.023,2021-02-14
Other,Other,AE.8,0.011,2021-02-21
Other,Other,AE.8,0.004,2021-02-28
Other,Other,AE.8,0.006,2021-03-07
Other,Other,AE.8,0.001,2021-03-14
Other,Other,AE.8,0,2021-03-21
Other,Other,AE.8,0.001,2021-03-28
Other,Other,AE.8,0.001,2021-04-04
Other,Other,AE.8,0,2021-04-11
Other,Other,AE.8,0.001,2021-05-23
Other,Other,AE.8,0,2021-06-13
Other,Other,AE.8,0.001,2021-06-20
Other,Other,AL.1,0.012,2019-12-29
Other,Other,AL.1,0.003,2020-05-24
Other,Other,AL.1,0.003,2020-08-16
Other,Other,AL.1,0.002,2020-08-23
Other,Other,AL.1,0.007,2020-08-30
Other,Other,AL.1,0.003,2020-09-06
Other,Other,AL.1,0.004,2020-09-13
Other,Other,AL.1,0.011,2020-09-20
Other,Other,AL.1,0.019,2020-09-27
Other,Other,AL.1,0.014,2020-10-04
Other,Other,AL.1,0.025,2020-10-11
Other,Other,AL.1,0.017,2020-10-18
Other,Other,AL.1,0.08,2020-10-25
Other,Other,AL.1,0.064,2020-11-01
Other,Other,AL.1,0.092,2020-11-08
Other,Other,AL.1,0.071,2020-11-15
Other,Other,AL.1,0.064,2020-11-22
Other,Other,AL.1,0.047,2020-11-29
Other,Other,AL.1,0.035,2020-12-06
Other,Other,AL.1,0.052,2020-12-13
Other,Other,AL.1,0.034,2020-12-20
Other,Other,AL.1,0.024,2020-12-27
Other,Other,AL.1,0.043,2021-01-03
Other,Other,AL.1,0.035,2021-01-10
Other,Other,AL.1,0.051,2021-01-17
Other,Other,AL.1,0.066,2021-01-24
Other,Other,AL.1,0.041,2021-01-31
Other,Other,AL.1,0.022,2021-02-07
Other,Other,AL.1,0.028,2021-02-14
Other,Other,AL.1,0.025,2021-02-21
Other,Other,AL.1,0.018,2021-02-28
Other,Other,AL.1,0.012,2021-03-07
Other,Other,AL.1,0.014,2021-03-14
Other,Other,AL.1,0.004,2021-03-21
Other,Other,AL.1,0.002,2021-03-28
Other,Other,AL.1,0.003,2021-04-04
Other,Other,AL.1,0.002,2021-04-11
Other,Other,AL.1,0.001,2021-04-18
Other,Other,AL.1,0.001,2021-04-25
Other,Other,AL.1,0.001,2021-06-20
Other,Other,AM.2,0.001,2020-11-22
Other,Other,AM.4,0.009,2020-11-01
Other,Other,AM.4,0.008,2020-11-08
Other,Other,AM.4,0.001,2020-11-15
Other,Other,AM.4,0.01,2020-11-22
Other,Other,AM.4,0.004,2020-11-29
Other,Other,AM.4,0.008,2020-12-13
Other,Other,AM.4,0.008,2020-12-20
Other,Other,AM.4,0.006,2020-12-27
Other,Other,AM.4,0.007,2021-01-03
Other,Other,AM.4,0.003,2021-01-10
Other,Other,AM.4,0.02,2021-01-17
Other,Other,AM.4,0.006,2021-01-24
Other,Other,AM.4,0.001,2021-01-31
Other,Other,AM.4,0.001,2021-02-14
Other,Other,AM.4,0.004,2021-02-21
Other,Other,AM.4,0.003,2021-02-28
Other,Other,AM.4,0.002,2021-03-07
Other,Other,AM.4,0.001,2021-03-14
Other,Other,AM.4,0.001,2021-03-21
Other,Other,AM.4,0.001,2021-03-28
Other,Other,AM.4,0,2021-04-04
Other,Other,AM.4,0,2021-05-02
Other,Other,AM.4,0,2021-06-20
Other,Other,AS.1,0.002,2020-09-20
Other,Other,AS.1,0.005,2020-10-04
Other,Other,AS.1,0.003,2020-10-11
Other,Other,AS.1,0.001,2020-11-08
Other,Other,AT.1,0.001,2021-06-27
Other,Other,AT.1,0.003,2021-07-04
Other,Other,AT.1,0.001,2021-07-18
Other,Other,AV.1,0,2021-04-25
Other,Other,AW.1,0.001,2020-10-11
Other,Other,AW.1,0.006,2020-10-18
Other,Other,AW.1,0.074,2020-10-25
Other,Other,AW.1,0.022,2020-11-01
Other,Other,AW.1,0.023,2020-11-08
Other,Other,AW.1,0.012,2020-11-15
Other,Other,AW.1,0.015,2020-11-22
Other,Other,AW.1,0.026,2020-11-29
Other,Other,AW.1,0.01,2020-12-06
Other,Other,AW.1,0.017,2020-12-13
Other,Other,AW.1,0.01,2020-12-20
Other,Other,AW.1,0.004,2020-12-27
Other,Other,AW.1,0.008,2021-01-03
Other,Other,AW.1,0.003,2021-01-10
Other,Other,AW.1,0.003,2021-01-17
Other,Other,AW.1,0.008,2021-01-24
Other,Other,AW.1,0.004,2021-01-31
Other,Other,AW.1,0.006,2021-02-07
Other,Other,AW.1,0.008,2021-02-14
Other,Other,AW.1,0.002,2021-02-21
Other,Other,AW.1,0.001,2021-02-28
Other,Other,B,0.012,2019-12-29
Other,Other,B,0.018,2020-03-01
Other,Other,B,0.016,2020-03-08
Other,Other,B,0.024,2020-03-15
Other,Other,B,0.015,2020-03-22
Other,Other,B,0.011,2020-03-29
Other,Other,B,0.007,2020-04-05
Other,Other,B,0.005,2020-04-12
Other,Other,B,0.005,2020-07-19
Other,Other,B,0.002,2020-09-20
Other,Other,B,0.001,2020-11-01
Other,Other,B,0.001,2020-11-22
Other,Other,B,0.001,2020-11-29
Other,Other,B,0.001,2021-02-28
Other,Other,B,0,2021-03-07
Other,Other,B,0.001,2021-03-14
Other,Other,B,0,2021-03-28
Other,Other,B,0,2021-04-18
Other,Other,B,0,2021-05-16
Other,Other,B,0.006,2021-08-01
Other,Other,B,0.004,2021-08-08
Other,Other,B.1,0.123,2019-12-29
Other,Other,B.1,0.587,2020-03-01
Other,Other,B.1,0.496,2020-03-08
Other,Other,B.1,0.53,2020-03-15
Other,Other,B.1,0.498,2020-03-22
Other,Other,B.1,0.459,2020-03-29
Other,Other,B.1,0.336,2020-04-05
Other,Other,B.1,0.131,2020-04-12
Other,Other,B.1,0.07,2020-04-19
Other,Other,B.1,0.117,2020-04-26
Other,Other,B.1,0.15,2020-05-03
Other,Other,B.1,0.129,2020-05-10
Other,Other,B.1,0.147,2020-05-17
Other,Other,B.1,0.177,2020-05-24
Other,Other,B.1,0.232,2020-05-31
Other,Other,B.1,0.205,2020-06-07
Other,Other,B.1,0.15,2020-06-14
Other,Other,B.1,0.103,2020-06-21
Other,Other,B.1,0.093,2020-06-28
Other,Other,B.1,0.14,2020-07-05
Other,Other,B.1,0.1,2020-07-12
Other,Other,B.1,0.079,2020-07-19
Other,Other,B.1,0.041,2020-07-26
Other,Other,B.1,0.035,2020-08-02
Other,Other,B.1,0.025,2020-08-09
Other,Other,B.1,0.014,2020-08-16
Other,Other,B.1,0.032,2020-08-23
Other,Other,B.1,0.013,2020-08-30
Other,Other,B.1,0.003,2020-09-06
Other,Other,B.1,0.004,2020-09-13
Other,Other,B.1,0.005,2020-09-20
Other,Other,B.1,0.009,2020-09-27
Other,Other,B.1,0.013,2020-10-04
Other,Other,B.1,0.005,2020-10-11
Other,Other,B.1,0.01,2020-10-18
Other,Other,B.1,0.006,2020-10-25
Other,Other,B.1,0.013,2020-11-01
Other,Other,B.1,0.011,2020-11-08
Other,Other,B.1,0.006,2020-11-15
Other,Other,B.1,0.018,2020-11-22
Other,Other,B.1,0.006,2020-11-29
Other,Other,B.1,0.006,2020-12-06
Other,Other,B.1,0.013,2020-12-13
Other,Other,B.1,0.008,2020-12-20
Other,Other,B.1,0.012,2020-12-27
Other,Other,B.1,0.028,2021-01-03
Other,Other,B.1,0.046,2021-01-10
Other,Other,B.1,0.018,2021-01-17
Other,Other,B.1,0.024,2021-01-24
Other,Other,B.1,0.031,2021-01-31
Other,Other,B.1,0.026,2021-02-07
Other,Other,B.1,0.023,2021-02-14
Other,Other,B.1,0.017,2021-02-21
Other,Other,B.1,0.011,2021-02-28
Other,Other,B.1,0.011,2021-03-07
Other,Other,B.1,0.009,2021-03-14
Other,Other,B.1,0.005,2021-03-21
Other,Other,B.1,0.004,2021-03-28
Other,Other,B.1,0.02,2021-04-04
Other,Other,B.1,0.003,2021-04-11
Other,Other,B.1,0.004,2021-04-18
Other,Other,B.1,0.002,2021-04-25
Other,Other,B.1,0.002,2021-05-02
Other,Other,B.1,0.001,2021-05-09
Other,Other,B.1,0.003,2021-05-16
Other,Other,B.1,0.001,2021-05-23
Other,Other,B.1,0.001,2021-05-30
Other,Other,B.1,0,2021-06-06
Other,Other,B.1,0.002,2021-06-13
Other,Other,B.1,0,2021-06-20
Other,Other,B.1,0.001,2021-06-27
Other,Other,B.1,0.001,2021-07-04
Other,Other,B.1,0.001,2021-07-18
Other,Other,B.1,0.001,2021-07-25
Other,Other,B.1,0,2021-08-08
Other,Other,B.1,0,2021-08-15
Other,Other,B.1,0,2021-08-22
Other,Other,B.1,0,2021-09-05
Other,Other,B.1.1,0.074,2019-12-29
Other,Other,B.1.1,0.147,2020-03-01
Other,Other,B.1.1,0.178,2020-03-08
Other,Other,B.1.1,0.111,2020-03-15
Other,Other,B.1.1,0.076,2020-03-22
Other,Other,B.1.1,0.076,2020-03-29
Other,Other,B.1.1,0.057,2020-04-05
Other,Other,B.1.1,0.04,2020-04-12
Other,Other,B.1.1,0.069,2020-04-19
Other,Other,B.1.1,0.128,2020-04-26
Other,Other,B.1.1,0.117,2020-05-03
Other,Other,B.1.1,0.104,2020-05-10
Other,Other,B.1.1,0.063,2020-05-17
Other,Other,B.1.1,0.144,2020-05-24
Other,Other,B.1.1,0.166,2020-05-31
Other,Other,B.1.1,0.135,2020-06-07
Other,Other,B.1.1,0.052,2020-06-14
Other,Other,B.1.1,0.051,2020-06-21
Other,Other,B.1.1,0.047,2020-06-28
Other,Other,B.1.1,0.088,2020-07-05
Other,Other,B.1.1,0.017,2020-07-12
Other,Other,B.1.1,0.053,2020-07-19
Other,Other,B.1.1,0.026,2020-07-26
Other,Other,B.1.1,0.027,2020-08-02
Other,Other,B.1.1,0.036,2020-08-09
Other,Other,B.1.1,0.043,2020-08-16
Other,Other,B.1.1,0.037,2020-08-23
Other,Other,B.1.1,0.064,2020-08-30
Other,Other,B.1.1,0.049,2020-09-06
Other,Other,B.1.1,0.036,2020-09-13
Other,Other,B.1.1,0.05,2020-09-20
Other,Other,B.1.1,0.078,2020-09-27
Other,Other,B.1.1,0.046,2020-10-04
Other,Other,B.1.1,0.039,2020-10-11
Other,Other,B.1.1,0.035,2020-10-18
Other,Other,B.1.1,0.029,2020-10-25
Other,Other,B.1.1,0.023,2020-11-01
Other,Other,B.1.1,0.022,2020-11-08
Other,Other,B.1.1,0.031,2020-11-15
Other,Other,B.1.1,0.035,2020-11-22
Other,Other,B.1.1,0.054,2020-11-29
Other,Other,B.1.1,0.045,2020-12-06
Other,Other,B.1.1,0.046,2020-12-13
Other,Other,B.1.1,0.049,2020-12-20
Other,Other,B.1.1,0.043,2020-12-27
Other,Other,B.1.1,0.038,2021-01-03
Other,Other,B.1.1,0.053,2021-01-10
Other,Other,B.1.1,0.056,2021-01-17
Other,Other,B.1.1,0.038,2021-01-24
Other,Other,B.1.1,0.018,2021-01-31
Other,Other,B.1.1,0.012,2021-02-07
Other,Other,B.1.1,0.005,2021-02-14
Other,Other,B.1.1,0.01,2021-02-21
Other,Other,B.1.1,0.004,2021-02-28
Other,Other,B.1.1,0.004,2021-03-07
Other,Other,B.1.1,0.003,2021-03-14
Other,Other,B.1.1,0.003,2021-03-21
Other,Other,B.1.1,0.004,2021-03-28
Other,Other,B.1.1,0.012,2021-04-04
Other,Other,B.1.1,0.002,2021-04-11
Other,Other,B.1.1,0.001,2021-04-18
Other,Other,B.1.1,0.001,2021-04-25
Other,Other,B.1.1,0.001,2021-05-02
Other,Other,B.1.1,0.002,2021-05-09
Other,Other,B.1.1,0.001,2021-05-16
Other,Other,B.1.1,0.002,2021-05-23
Other,Other,B.1.1,0.003,2021-05-30
Other,Other,B.1.1,0.002,2021-06-06
Other,Other,B.1.1,0.002,2021-06-13
Other,Other,B.1.1,0.001,2021-06-20
Other,Other,B.1.1,0.001,2021-06-27
Other,Other,B.1.1,0.004,2021-07-04
Other,Other,B.1.1,0,2021-08-15
Other,Other,B.1.1,0.001,2021-09-19
Other,Other,B.1.1.1,0.008,2020-03-15
Other,Other,B.1.1.1,0.003,2020-03-22
Other,Other,B.1.1.1,0.003,2020-03-29
Other,Other,B.1.1.1,0.001,2020-04-05
Other,Other,B.1.1.1,0.008,2020-04-12
Other,Other,B.1.1.1,0.007,2020-04-19
Other,Other,B.1.1.1,0.002,2020-04-26
Other,Other,B.1.1.1,0.007,2020-05-03
Other,Other,B.1.1.1,0.002,2020-05-10
Other,Other,B.1.1.1,0.003,2020-05-17
Other,Other,B.1.1.1,0.007,2020-05-24
Other,Other,B.1.1.1,0.005,2020-05-31
Other,Other,B.1.1.1,0.005,2020-06-07
Other,Other,B.1.1.1,0.01,2020-06-14
Other,Other,B.1.1.1,0.013,2020-06-21
Other,Other,B.1.1.1,0.008,2020-06-28
Other,Other,B.1.1.1,0.005,2020-07-19
Other,Other,B.1.1.1,0.003,2020-08-16
Other,Other,B.1.1.1,0.003,2020-08-30
Other,Other,B.1.1.1,0.003,2020-09-06
Other,Other,B.1.1.1,0.015,2020-09-27
Other,Other,B.1.1.1,0.027,2020-10-04
Other,Other,B.1.1.1,0.005,2020-10-11
Other,Other,B.1.1.1,0.007,2020-10-18
Other,Other,B.1.1.1,0.009,2020-10-25
Other,Other,B.1.1.1,0.004,2020-11-01
Other,Other,B.1.1.1,0.01,2020-11-08
Other,Other,B.1.1.1,0.006,2020-11-15
Other,Other,B.1.1.1,0.005,2020-11-22
Other,Other,B.1.1.1,0.002,2020-11-29
Other,Other,B.1.1.1,0.001,2020-12-06
Other,Other,B.1.1.1,0.002,2020-12-13
Other,Other,B.1.1.1,0.003,2020-12-20
Other,Other,B.1.1.1,0.002,2020-12-27
Other,Other,B.1.1.1,0.001,2021-01-03
Other,Other,B.1.1.1,0,2021-01-10
Other,Other,B.1.1.1,0.001,2021-01-24
Other,Other,B.1.1.1,0,2021-02-14
Other,Other,B.1.1.1,0,2021-02-21
Other,Other,B.1.1.1,0.001,2021-03-07
Other,Other,B.1.1.1,0,2021-04-04
Other,Other,B.1.1.10,0.009,2020-03-01
Other,Other,B.1.1.10,0.006,2020-03-15
Other,Other,B.1.1.10,0.013,2020-03-22
Other,Other,B.1.1.10,0.008,2020-03-29
Other,Other,B.1.1.10,0.004,2020-04-05
Other,Other,B.1.1.10,0.003,2020-04-12
Other,Other,B.1.1.10,0.007,2020-04-19
Other,Other,B.1.1.10,0.002,2020-05-31
Other,Other,B.1.1.10,0.003,2020-09-06
Other,Other,B.1.1.10,0.001,2020-10-11
Other,Other,B.1.1.10,0.001,2020-12-13
Other,Other,B.1.1.10,0.001,2021-01-03
Other,Other,B.1.1.10,0,2021-01-17
Other,Other,B.1.1.101,0,2021-03-28
Other,Other,B.1.1.117,0.001,2021-01-31
Other,Other,B.1.1.118,0.008,2020-06-28
Other,Other,B.1.1.121,0.005,2020-05-31
Other,Other,B.1.1.121,0.017,2020-07-12
Other,Other,B.1.1.121,0.032,2020-07-19
Other,Other,B.1.1.121,0.015,2020-07-26
Other,Other,B.1.1.121,0.019,2020-08-02
Other,Other,B.1.1.121,0.003,2020-08-09
Other,Other,B.1.1.121,0.014,2020-08-16
Other,Other,B.1.1.121,0.034,2020-08-23
Other,Other,B.1.1.121,0.059,2020-08-30
Other,Other,B.1.1.121,0.006,2020-09-06
Other,Other,B.1.1.121,0.009,2020-09-13
Other,Other,B.1.1.121,0.009,2020-09-20
Other,Other,B.1.1.121,0.022,2020-09-27
Other,Other,B.1.1.121,0.008,2020-10-04
Other,Other,B.1.1.121,0.004,2020-10-11
Other,Other,B.1.1.121,0.006,2020-10-18
Other,Other,B.1.1.121,0.001,2020-11-01
Other,Other,B.1.1.121,0.001,2020-11-08
Other,Other,B.1.1.121,0.003,2020-11-15
Other,Other,B.1.1.121,0.016,2020-11-22
Other,Other,B.1.1.121,0.001,2020-11-29
Other,Other,B.1.1.121,0.002,2020-12-13
Other,Other,B.1.1.121,0.005,2020-12-20
Other,Other,B.1.1.121,0.007,2020-12-27
Other,Other,B.1.1.121,0.003,2021-01-03
Other,Other,B.1.1.121,0.003,2021-01-10
Other,Other,B.1.1.121,0.002,2021-01-17
Other,Other,B.1.1.121,0.003,2021-01-24
Other,Other,B.1.1.121,0,2021-02-21
Other,Other,B.1.1.121,0.001,2021-03-14
Other,Other,B.1.1.121,0.001,2021-03-21
Other,Other,B.1.1.121,0,2021-03-28
Other,Other,B.1.1.121,0,2021-04-04
Other,Other,B.1.1.121,0,2021-04-18
Other,Other,B.1.1.121,0,2021-04-25
Other,Other,B.1.1.121,0,2021-05-09
Other,Other,B.1.1.121,0,2021-05-30
Other,Other,B.1.1.133,0.001,2020-03-22
Other,Other,B.1.1.133,0.001,2020-03-29
Other,Other,B.1.1.135,0.005,2020-07-19
Other,Other,B.1.1.135,0.001,2020-10-18
Other,Other,B.1.1.137,0.004,2020-09-20
Other,Other,B.1.1.137,0.002,2020-10-04
Other,Other,B.1.1.137,0.006,2020-10-11
Other,Other,B.1.1.137,0.001,2020-10-18
Other,Other,B.1.1.137,0.002,2020-11-01
Other,Other,B.1.1.137,0.009,2020-11-08
Other,Other,B.1.1.137,0.001,2020-11-15
Other,Other,B.1.1.137,0.002,2020-11-22
Other,Other,B.1.1.137,0.001,2020-11-29
Other,Other,B.1.1.137,0.001,2020-12-27
Other,Other,B.1.1.141,0.001,2020-10-11
Other,Other,B.1.1.153,0.001,2020-12-13
Other,Other,B.1.1.157,0.043,2019-12-29
Other,Other,B.1.1.157,0.002,2020-04-26
Other,Other,B.1.1.157,0.003,2020-05-17
Other,Other,B.1.1.157,0.021,2020-06-14
Other,Other,B.1.1.157,0.039,2020-06-21
Other,Other,B.1.1.157,0.109,2020-06-28
Other,Other,B.1.1.157,0.096,2020-07-05
Other,Other,B.1.1.157,0.05,2020-07-12
Other,Other,B.1.1.157,0.137,2020-07-19
Other,Other,B.1.1.157,0.128,2020-07-26
Other,Other,B.1.1.157,0.178,2020-08-02
Other,Other,B.1.1.157,0.039,2020-08-09
Other,Other,B.1.1.157,0.071,2020-08-16
Other,Other,B.1.1.157,0.075,2020-08-23
Other,Other,B.1.1.157,0.159,2020-08-30
Other,Other,B.1.1.157,0.077,2020-09-06
Other,Other,B.1.1.157,0.051,2020-09-13
Other,Other,B.1.1.157,0.076,2020-09-20
Other,Other,B.1.1.157,0.095,2020-09-27
Other,Other,B.1.1.157,0.121,2020-10-04
Other,Other,B.1.1.157,0.097,2020-10-11
Other,Other,B.1.1.157,0.052,2020-10-18
Other,Other,B.1.1.157,0.019,2020-10-25
Other,Other,B.1.1.157,0.023,2020-11-01
Other,Other,B.1.1.157,0.035,2020-11-08
Other,Other,B.1.1.157,0.053,2020-11-15
Other,Other,B.1.1.157,0.097,2020-11-22
Other,Other,B.1.1.157,0.045,2020-11-29
Other,Other,B.1.1.157,0.019,2020-12-06
Other,Other,B.1.1.157,0.005,2020-12-13
Other,Other,B.1.1.157,0.008,2020-12-20
Other,Other,B.1.1.157,0.008,2020-12-27
Other,Other,B.1.1.157,0.009,2021-01-03
Other,Other,B.1.1.157,0.006,2021-01-10
Other,Other,B.1.1.157,0.005,2021-01-17
Other,Other,B.1.1.157,0.004,2021-01-24
Other,Other,B.1.1.157,0.006,2021-01-31
Other,Other,B.1.1.157,0.005,2021-02-07
Other,Other,B.1.1.157,0.004,2021-02-14
Other,Other,B.1.1.157,0.003,2021-02-21
Other,Other,B.1.1.157,0.002,2021-02-28
Other,Other,B.1.1.157,0.003,2021-03-07
Other,Other,B.1.1.157,0.001,2021-03-14
Other,Other,B.1.1.157,0.001,2021-03-21
Other,Other,B.1.1.157,0.001,2021-03-28
Other,Other,B.1.1.157,0.001,2021-04-04
Other,Other,B.1.1.157,0,2021-04-11
Other,Other,B.1.1.157,0,2021-05-09
Other,Other,B.1.1.157,0,2021-06-20
Other,Other,B.1.1.159,0.005,2020-10-04
Other,Other,B.1.1.159,0.001,2020-12-06
Other,Other,B.1.1.159,0,2021-04-04
Other,Other,B.1.1.159,0,2021-04-18
Other,Other,B.1.1.159,0,2021-04-25
Other,Other,B.1.1.161,0.001,2020-03-29
Other,Other,B.1.1.161,0.001,2020-04-05
Other,Other,B.1.1.161,0.001,2020-04-19
Other,Other,B.1.1.161,0.002,2020-04-26
Other,Other,B.1.1.161,0.004,2020-08-02
Other,Other,B.1.1.161,0.002,2020-09-27
Other,Other,B.1.1.161,0.003,2020-10-11
Other,Other,B.1.1.161,0.003,2020-10-25
Other,Other,B.1.1.161,0.002,2021-01-10
Other,Other,B.1.1.161,0.002,2021-01-17
Other,Other,B.1.1.161,0.001,2021-01-31
Other,Other,B.1.1.161,0.001,2021-02-07
Other,Other,B.1.1.161,0,2021-02-14
Other,Other,B.1.1.161,0,2021-03-21
Other,Other,B.1.1.161,0,2021-04-04
Other,Other,B.1.1.161,0.001,2021-04-18
Other,Other,B.1.1.161,0,2021-04-25
Other,Other,B.1.1.161,0,2021-05-02
Other,Other,B.1.1.161,0,2021-05-30
Other,Other,B.1.1.161,0,2021-06-06
Other,Other,B.1.1.161,0,2021-06-13
Other,Other,B.1.1.164,0.002,2020-05-31
Other,Other,B.1.1.164,0.033,2020-07-12
Other,Other,B.1.1.164,0,2021-04-04
Other,Other,B.1.1.168,0.001,2020-10-25
Other,Other,B.1.1.168,0.002,2020-11-22
Other,Other,B.1.1.168,0.001,2020-12-27
Other,Other,B.1.1.168,0.003,2021-01-03
Other,Other,B.1.1.168,0.004,2021-01-10
Other,Other,B.1.1.168,0.002,2021-01-17
Other,Other,B.1.1.168,0.004,2021-01-24
Other,Other,B.1.1.168,0.004,2021-01-31
Other,Other,B.1.1.168,0.001,2021-02-07
Other,Other,B.1.1.168,0.001,2021-02-14
Other,Other,B.1.1.168,0,2021-04-11
Other,Other,B.1.1.170,0.001,2021-01-03
Other,Other,B.1.1.171,0.001,2020-03-22
Other,Other,B.1.1.171,0.001,2020-12-13
Other,Other,B.1.1.174,0.001,2020-10-11
Other,Other,B.1.1.174,0.001,2020-12-20
Other,Other,B.1.1.176,0.047,2020-03-08
Other,Other,B.1.1.176,0.037,2020-03-15
Other,Other,B.1.1.176,0.058,2020-03-22
Other,Other,B.1.1.176,0.048,2020-03-29
Other,Other,B.1.1.176,0.059,2020-04-05
Other,Other,B.1.1.176,0.027,2020-04-12
Other,Other,B.1.1.176,0.008,2020-04-19
Other,Other,B.1.1.176,0.017,2020-04-26
Other,Other,B.1.1.176,0.048,2020-05-03
Other,Other,B.1.1.176,0.028,2020-05-10
Other,Other,B.1.1.176,0.057,2020-05-17
Other,Other,B.1.1.176,0.044,2020-05-24
Other,Other,B.1.1.176,0.007,2020-05-31
Other,Other,B.1.1.176,0.035,2020-06-07
Other,Other,B.1.1.176,0.098,2020-06-14
Other,Other,B.1.1.176,0.026,2020-06-21
Other,Other,B.1.1.176,0.008,2020-06-28
Other,Other,B.1.1.176,0.029,2020-07-05
Other,Other,B.1.1.176,0.008,2020-07-12
Other,Other,B.1.1.176,0.005,2020-07-19
Other,Other,B.1.1.176,0.021,2020-07-26
Other,Other,B.1.1.176,0.112,2020-08-02
Other,Other,B.1.1.176,0.044,2020-08-09
Other,Other,B.1.1.176,0.02,2020-08-16
Other,Other,B.1.1.176,0.039,2020-08-23
Other,Other,B.1.1.176,0.028,2020-08-30
Other,Other,B.1.1.176,0.012,2020-09-06
Other,Other,B.1.1.176,0.004,2020-09-13
Other,Other,B.1.1.176,0.009,2020-09-20
Other,Other,B.1.1.176,0.026,2020-09-27
Other,Other,B.1.1.176,0.063,2020-10-04
Other,Other,B.1.1.176,0.092,2020-10-11
Other,Other,B.1.1.176,0.035,2020-10-18
Other,Other,B.1.1.176,0.013,2020-10-25
Other,Other,B.1.1.176,0.018,2020-11-01
Other,Other,B.1.1.176,0.041,2020-11-08
Other,Other,B.1.1.176,0.02,2020-11-15
Other,Other,B.1.1.176,0.036,2020-11-22
Other,Other,B.1.1.176,0.054,2020-11-29
Other,Other,B.1.1.176,0.064,2020-12-06
Other,Other,B.1.1.176,0.065,2020-12-13
Other,Other,B.1.1.176,0.058,2020-12-20
Other,Other,B.1.1.176,0.086,2020-12-27
Other,Other,B.1.1.176,0.101,2021-01-03
Other,Other,B.1.1.176,0.094,2021-01-10
Other,Other,B.1.1.176,0.061,2021-01-17
Other,Other,B.1.1.176,0.059,2021-01-24
Other,Other,B.1.1.176,0.044,2021-01-31
Other,Other,B.1.1.176,0.026,2021-02-07
Other,Other,B.1.1.176,0.012,2021-02-14
Other,Other,B.1.1.176,0.011,2021-02-21
Other,Other,B.1.1.176,0.004,2021-02-28
Other,Other,B.1.1.176,0.003,2021-03-07
Other,Other,B.1.1.176,0.002,2021-03-14
Other,Other,B.1.1.176,0.001,2021-03-21
Other,Other,B.1.1.176,0.002,2021-03-28
Other,Other,B.1.1.176,0.001,2021-04-04
Other,Other,B.1.1.176,0,2021-05-02
Other,Other,B.1.1.176,0,2021-05-30
Other,Other,B.1.1.181,0.002,2020-03-22
Other,Other,B.1.1.181,0.002,2020-03-29
Other,Other,B.1.1.181,0.014,2020-04-05
Other,Other,B.1.1.181,0.015,2020-04-12
Other,Other,B.1.1.181,0.001,2020-04-19
Other,Other,B.1.1.181,0.003,2020-04-26
Other,Other,B.1.1.181,0.007,2020-05-03
Other,Other,B.1.1.181,0.026,2020-05-10
Other,Other,B.1.1.181,0.039,2020-05-17
Other,Other,B.1.1.181,0.087,2020-05-24
Other,Other,B.1.1.181,0.133,2020-05-31
Other,Other,B.1.1.181,0.02,2020-06-07
Other,Other,B.1.1.181,0.021,2020-06-14
Other,Other,B.1.1.181,0.008,2020-07-12
Other,Other,B.1.1.181,0.001,2021-04-04
