grouping,identifier,percentage,week,YMD
VOC,Beta,0.0,2021-12-26,2021-12-26
VOC,Delta,0.0,2021-01-03,2021-01-03
VOC,Delta,0.0,2021-01-10,2021-01-10
VOC,Delta,0.0,2021-01-17,2021-01-17
VOC,Delta,0.0,2021-01-24,2021-01-24
VOC,Delta,0.0,2021-01-31,2021-01-31
VOC,Delta,0.0,2021-02-07,2021-02-07
VOC,Delta,0.0,2021-02-14,2021-02-14
VOC,Delta,0.0,2021-02-21,2021-02-21
VOC,Delta,0.0,2021-02-28,2021-02-28
VOC,Delta,0.0,2021-03-07,2021-03-07
VOC,Delta,0.0,2021-03-14,2021-03-14
VOC,Delta,0.001,2021-03-21,2021-03-21
VOC,Delta,0.001,2021-03-28,2021-03-28
VOC,Delta,0.005,2021-04-04,2021-04-04
VOC,Delta,0.015,2021-04-11,2021-04-11
VOC,Delta,0.036000000000000004,2021-04-18,2021-04-18
VOC,Delta,0.047,2021-04-25,2021-04-25
VOC,Delta,0.049,2021-05-02,2021-05-02
VOC,Delta,0.07500000000000001,2021-05-09,2021-05-09
VOC,Delta,0.099,2021-05-16,2021-05-16
VOC,Delta,0.131,2021-05-23,2021-05-23
VOC,Delta,0.158,2021-05-30,2021-05-30
VOC,Delta,0.23399999999999999,2021-06-06,2021-06-06
VOC,Delta,0.356,2021-06-13,2021-06-13
VOC,Delta,0.384,2021-06-20,2021-06-20
VOC,Delta,0.584,2021-06-27,2021-06-27
VOC,Delta,0.662,2021-07-04,2021-07-04
VOC,Delta,0.719,2021-07-11,2021-07-11
VOC,Delta,0.831,2021-07-18,2021-07-18
VOC,Delta,0.8959999999999999,2021-07-25,2021-07-25
VOC,Delta,0.909,2021-08-01,2021-08-01
VOC,Delta,0.93,2021-08-08,2021-08-08
VOC,Delta,0.96,2021-08-15,2021-08-15
VOC,Delta,0.97,2021-08-22,2021-08-22
VOC,Delta,0.9850000000000001,2021-08-29,2021-08-29
VOC,Delta,0.992,2021-09-05,2021-09-05
VOC,Delta,0.9960000000000001,2021-09-12,2021-09-12
VOC,Delta,0.9970000000000001,2021-09-19,2021-09-19
VOC,Delta,0.9990000000000001,2021-09-26,2021-09-26
VOC,Delta,0.998,2021-10-03,2021-10-03
VOC,Delta,0.998,2021-10-10,2021-10-10
VOC,Delta,1.001,2021-10-17,2021-10-17
VOC,Delta,0.999,2021-10-24,2021-10-24
VOC,Delta,0.9990000000000001,2021-10-31,2021-10-31
VOC,Delta,1.0,2021-11-14,2021-11-14
VOC,Delta,0.9990000000000001,2021-11-07,2021-11-07
VOC,Delta,0.998,2021-11-21,2021-11-21
VOC,Delta,0.9800000000000001,2021-11-28,2021-11-28
VOC,Delta,0.794,2021-12-05,2021-12-05
VOC,Delta,0.43800000000000006,2021-12-12,2021-12-12
VOC,Delta,0.186,2021-12-19,2021-12-19
VOC,Delta,0.074,2021-12-26,2021-12-26
VOC,Gamma,0.0,2021-01-03,2021-01-03
VOC,Gamma,0.001,2021-01-10,2021-01-10
VOC,Gamma,0.0,2021-01-17,2021-01-17
VOC,Gamma,0.0,2021-01-24,2021-01-24
VOC,Gamma,0.003,2021-01-31,2021-01-31
VOC,Gamma,0.006,2021-02-07,2021-02-07
VOC,Gamma,0.015,2021-02-14,2021-02-14
VOC,Gamma,0.024,2021-02-21,2021-02-21
VOC,Gamma,0.03,2021-02-28,2021-02-28
VOC,Gamma,0.057999999999999996,2021-03-07,2021-03-07
VOC,Gamma,0.096,2021-03-14,2021-03-14
VOC,Gamma,0.188,2021-03-21,2021-03-21
VOC,Gamma,0.233,2021-03-28,2021-03-28
VOC,Gamma,0.252,2021-04-04,2021-04-04
VOC,Gamma,0.23700000000000002,2021-04-11,2021-04-11
VOC,Gamma,0.189,2021-04-18,2021-04-18
VOC,Gamma,0.227,2021-04-25,2021-04-25
VOC,Gamma,0.203,2021-05-02,2021-05-02
VOC,Gamma,0.225,2021-05-09,2021-05-09
VOC,Gamma,0.242,2021-05-16,2021-05-16
VOC,Gamma,0.219,2021-05-23,2021-05-23
VOC,Gamma,0.211,2021-05-30,2021-05-30
VOC,Gamma,0.148,2021-06-06,2021-06-06
VOC,Gamma,0.12,2021-06-13,2021-06-13
VOC,Gamma,0.099,2021-06-20,2021-06-20
VOC,Gamma,0.102,2021-06-27,2021-06-27
VOC,Gamma,0.099,2021-07-04,2021-07-04
VOC,Gamma,0.083,2021-07-11,2021-07-11
VOC,Gamma,0.043000000000000003,2021-07-18,2021-07-18
VOC,Gamma,0.02,2021-07-25,2021-07-25
VOC,Gamma,0.013000000000000001,2021-08-01,2021-08-01
VOC,Gamma,0.005,2021-08-08,2021-08-08
VOC,Gamma,0.004,2021-08-15,2021-08-15
VOC,Gamma,0.004,2021-08-22,2021-08-22
VOC,Gamma,0.002,2021-08-29,2021-08-29
VOC,Gamma,0.001,2021-09-05,2021-09-05
VOC,Gamma,0.001,2021-09-12,2021-09-12
VOC,Gamma,0.0,2021-09-19,2021-09-19
VOC,Gamma,0.0,2021-09-26,2021-09-26
VOC,Gamma,0.0,2021-10-03,2021-10-03
VOC,Gamma,0.0,2021-10-10,2021-10-10
VOC,Gamma,0.0,2021-10-17,2021-10-17
VOC,Gamma,0.0,2021-10-24,2021-10-24
VOC,Gamma,0.0,2021-10-31,2021-10-31
VOC,Gamma,0.0,2021-11-14,2021-11-14
VOC,Gamma,0.0,2021-11-07,2021-11-07
VOC,Gamma,0.0,2021-11-21,2021-11-21
VOC,Gamma,0.0,2021-11-28,2021-11-28
VOC,Gamma,0.0,2021-12-05,2021-12-05
VOC,Gamma,0.0,2021-12-12,2021-12-12
VOC,Gamma,0.0,2021-12-19,2021-12-19
VOC,Gamma,0.0,2021-12-26,2021-12-26
VOC,Omicron,0.0,2021-01-03,2021-01-03
VOC,Omicron,0.0,2021-01-10,2021-01-10
VOC,Omicron,0.0,2021-01-17,2021-01-17
VOC,Omicron,0.0,2021-01-24,2021-01-24
VOC,Omicron,0.0,2021-01-31,2021-01-31
VOC,Omicron,0.0,2021-02-07,2021-02-07
VOC,Omicron,0.0,2021-02-14,2021-02-14
VOC,Omicron,0.0,2021-02-21,2021-02-21
VOC,Omicron,0.0,2021-02-28,2021-02-28
VOC,Omicron,0.0,2021-03-07,2021-03-07
VOC,Omicron,0.0,2021-03-14,2021-03-14
VOC,Omicron,0.0,2021-03-21,2021-03-21
VOC,Omicron,0.0,2021-03-28,2021-03-28
VOC,Omicron,0.0,2021-04-04,2021-04-04
VOC,Omicron,0.0,2021-04-11,2021-04-11
VOC,Omicron,0.0,2021-04-18,2021-04-18
VOC,Omicron,0.0,2021-04-25,2021-04-25
VOC,Omicron,0.0,2021-05-02,2021-05-02
VOC,Omicron,0.0,2021-05-09,2021-05-09
VOC,Omicron,0.0,2021-05-16,2021-05-16
VOC,Omicron,0.0,2021-05-23,2021-05-23
VOC,Omicron,0.0,2021-05-30,2021-05-30
VOC,Omicron,0.0,2021-06-06,2021-06-06
VOC,Omicron,0.0,2021-06-13,2021-06-13
VOC,Omicron,0.0,2021-06-20,2021-06-20
VOC,Omicron,0.0,2021-06-27,2021-06-27
VOC,Omicron,0.0,2021-07-04,2021-07-04
VOC,Omicron,0.0,2021-07-11,2021-07-11
VOC,Omicron,0.0,2021-07-18,2021-07-18
VOC,Omicron,0.0,2021-07-25,2021-07-25
VOC,Omicron,0.0,2021-08-01,2021-08-01
VOC,Omicron,0.0,2021-08-08,2021-08-08
VOC,Omicron,0.0,2021-08-15,2021-08-15
VOC,Omicron,0.0,2021-08-22,2021-08-22
VOC,Omicron,0.0,2021-08-29,2021-08-29
VOC,Omicron,0.0,2021-09-05,2021-09-05
VOC,Omicron,0.0,2021-09-12,2021-09-12
VOC,Omicron,0.0,2021-09-19,2021-09-19
VOC,Omicron,0.0,2021-09-26,2021-09-26
VOC,Omicron,0.0,2021-10-03,2021-10-03
VOC,Omicron,0.0,2021-10-10,2021-10-10
VOC,Omicron,0.0,2021-10-17,2021-10-17
VOC,Omicron,0.0,2021-10-24,2021-10-24
VOC,Omicron,0.0,2021-10-31,2021-10-31
VOC,Omicron,0.0,2021-11-14,2021-11-14
VOC,Omicron,0.0,2021-11-07,2021-11-07
VOC,Omicron,0.003,2021-11-21,2021-11-21
VOC,Omicron,0.019,2021-11-28,2021-11-28
VOC,Omicron,0.206,2021-12-05,2021-12-05
VOC,Omicron,0.562,2021-12-12,2021-12-12
VOC,Omicron,0.8130000000000001,2021-12-19,2021-12-19
VOC,Omicron,0.926,2021-12-26,2021-12-26
VOI,B.1.1.318,0.0,2021-01-03,2021-01-03
VOI,B.1.1.318,0.0,2021-01-10,2021-01-10
VOI,B.1.1.318,0.0,2021-01-17,2021-01-17
VOI,B.1.1.318,0.0,2021-01-24,2021-01-24
VOI,B.1.1.318,0.001,2021-01-31,2021-01-31
VOI,B.1.1.318,0.001,2021-02-07,2021-02-07
VOI,B.1.1.318,0.002,2021-02-14,2021-02-14
VOI,B.1.1.318,0.001,2021-02-21,2021-02-21
VOI,B.1.1.318,0.003,2021-02-28,2021-02-28
VOI,B.1.1.318,0.004,2021-03-07,2021-03-07
VOI,B.1.1.318,0.007,2021-03-14,2021-03-14
VOI,B.1.1.318,0.013000000000000001,2021-03-21,2021-03-21
VOI,B.1.1.318,0.020999999999999998,2021-03-28,2021-03-28
VOI,B.1.1.318,0.023000000000000003,2021-04-04,2021-04-04
VOI,B.1.1.318,0.019,2021-04-11,2021-04-11
VOI,B.1.1.318,0.013000000000000001,2021-04-18,2021-04-18
VOI,B.1.1.318,0.013000000000000001,2021-04-25,2021-04-25
VOI,B.1.1.318,0.014,2021-05-02,2021-05-02
VOI,B.1.1.318,0.006,2021-05-09,2021-05-09
VOI,B.1.1.318,0.013000000000000001,2021-05-16,2021-05-16
VOI,B.1.1.318,0.007,2021-05-23,2021-05-23
VOI,B.1.1.318,0.008,2021-05-30,2021-05-30
VOI,B.1.1.318,0.012,2021-06-06,2021-06-06
VOI,B.1.1.318,0.009999999999999998,2021-06-13,2021-06-13
VOI,B.1.1.318,0.011,2021-06-20,2021-06-20
VOI,B.1.1.318,0.007,2021-06-27,2021-06-27
VOI,B.1.1.318,0.002,2021-07-04,2021-07-04
VOI,B.1.1.318,0.003,2021-07-11,2021-07-11
VOI,B.1.1.318,0.005,2021-07-18,2021-07-18
VOI,B.1.1.318,0.002,2021-07-25,2021-07-25
VOI,B.1.1.318,0.0,2021-08-01,2021-08-01
VOI,B.1.1.318,0.0,2021-08-08,2021-08-08
VOI,B.1.1.318,0.0,2021-08-15,2021-08-15
VOI,B.1.1.318,0.0,2021-08-22,2021-08-22
VOI,B.1.1.318,0.0,2021-08-29,2021-08-29
VOI,B.1.1.318,0.0,2021-09-05,2021-09-05
VOI,B.1.1.318,0.0,2021-09-12,2021-09-12
VOI,B.1.1.318,0.0,2021-09-19,2021-09-19
VOI,B.1.1.318,0.0,2021-09-26,2021-09-26
VOI,B.1.1.318,0.0,2021-10-03,2021-10-03
VOI,B.1.1.318,0.0,2021-10-10,2021-10-10
VOI,B.1.1.318,0.0,2021-10-17,2021-10-17
VOI,B.1.1.318,0.0,2021-10-24,2021-10-24
VOI,B.1.1.318,0.0,2021-10-31,2021-10-31
VOI,B.1.1.318,0.0,2021-11-14,2021-11-14
VOI,B.1.1.318,0.0,2021-11-07,2021-11-07
VOI,B.1.1.318,0.0,2021-11-21,2021-11-21
VOI,B.1.1.318,0.0,2021-11-28,2021-11-28
VOI,B.1.1.318,0.0,2021-12-05,2021-12-05
VOI,B.1.1.318,0.0,2021-12-12,2021-12-12
VOI,B.1.1.318,0.0,2021-12-19,2021-12-19
VOI,B.1.1.318,0.0,2021-12-26,2021-12-26
VOI,B.1.617.3,0.0,2021-01-03,2021-01-03
VOI,B.1.617.3,0.0,2021-01-10,2021-01-10
VOI,B.1.617.3,0.0,2021-01-17,2021-01-17
VOI,B.1.617.3,0.0,2021-01-24,2021-01-24
VOI,B.1.617.3,0.0,2021-01-31,2021-01-31
VOI,B.1.617.3,0.0,2021-02-07,2021-02-07
VOI,B.1.617.3,0.0,2021-02-14,2021-02-14
VOI,B.1.617.3,0.0,2021-02-21,2021-02-21
VOI,B.1.617.3,0.0,2021-02-28,2021-02-28
VOI,B.1.617.3,0.0,2021-03-07,2021-03-07
VOI,B.1.617.3,0.0,2021-03-14,2021-03-14
VOI,B.1.617.3,0.0,2021-03-21,2021-03-21
VOI,B.1.617.3,0.0,2021-03-28,2021-03-28
VOI,B.1.617.3,0.0,2021-04-04,2021-04-04
VOI,B.1.617.3,0.0,2021-04-11,2021-04-11
VOI,B.1.617.3,0.0,2021-04-18,2021-04-18
VOI,B.1.617.3,0.0,2021-04-25,2021-04-25
VOI,B.1.617.3,0.0,2021-05-02,2021-05-02
VOI,B.1.617.3,0.0,2021-05-09,2021-05-09
VOI,B.1.617.3,0.0,2021-05-16,2021-05-16
VOI,B.1.617.3,0.0,2021-05-23,2021-05-23
VOI,B.1.617.3,0.0,2021-05-30,2021-05-30
VOI,B.1.617.3,0.0,2021-06-06,2021-06-06
VOI,B.1.617.3,0.0,2021-06-13,2021-06-13
VOI,B.1.617.3,0.0,2021-06-20,2021-06-20
VOI,B.1.617.3,0.0,2021-06-27,2021-06-27
VOI,B.1.617.3,0.0,2021-07-04,2021-07-04
VOI,B.1.617.3,0.0,2021-07-11,2021-07-11
VOI,B.1.617.3,0.0,2021-07-18,2021-07-18
VOI,B.1.617.3,0.0,2021-07-25,2021-07-25
VOI,B.1.617.3,0.0,2021-08-01,2021-08-01
VOI,B.1.617.3,0.0,2021-08-08,2021-08-08
VOI,B.1.617.3,0.0,2021-08-15,2021-08-15
VOI,B.1.617.3,0.0,2021-08-22,2021-08-22
VOI,B.1.617.3,0.0,2021-08-29,2021-08-29
VOI,B.1.617.3,0.0,2021-09-05,2021-09-05
VOI,B.1.617.3,0.0,2021-09-12,2021-09-12
VOI,B.1.617.3,0.0,2021-09-19,2021-09-19
VOI,B.1.617.3,0.0,2021-09-26,2021-09-26
VOI,B.1.617.3,0.0,2021-10-03,2021-10-03
VOI,B.1.617.3,0.0,2021-10-10,2021-10-10
VOI,B.1.617.3,0.0,2021-10-17,2021-10-17
VOI,B.1.617.3,0.0,2021-10-24,2021-10-24
VOI,B.1.617.3,0.0,2021-10-31,2021-10-31
VOI,B.1.617.3,0.0,2021-11-14,2021-11-14
VOI,B.1.617.3,0.0,2021-11-07,2021-11-07
VOI,B.1.617.3,0.0,2021-11-21,2021-11-21
VOI,B.1.617.3,0.0,2021-11-28,2021-11-28
VOI,B.1.617.3,0.0,2021-12-05,2021-12-05
VOI,B.1.617.3,0.0,2021-12-12,2021-12-12
VOI,B.1.617.3,0.0,2021-12-19,2021-12-19
VOI,B.1.617.3,0.0,2021-12-26,2021-12-26
VOI,Eta,0.001,2021-01-03,2021-01-03
VOI,Eta,0.001,2021-01-10,2021-01-10
VOI,Eta,0.001,2021-01-17,2021-01-17
VOI,Eta,0.002,2021-01-24,2021-01-24
VOI,Eta,0.003,2021-01-31,2021-01-31
VOI,Eta,0.009,2021-02-07,2021-02-07
VOI,Eta,0.016,2021-02-14,2021-02-14
VOI,Eta,0.02,2021-02-21,2021-02-21
VOI,Eta,0.03,2021-02-28,2021-02-28
VOI,Eta,0.027,2021-03-07,2021-03-07
VOI,Eta,0.012,2021-03-14,2021-03-14
VOI,Eta,0.04,2021-03-21,2021-03-21
VOI,Eta,0.048,2021-03-28,2021-03-28
VOI,Eta,0.04,2021-04-04,2021-04-04
VOI,Eta,0.033,2021-04-11,2021-04-11
VOI,Eta,0.018,2021-04-18,2021-04-18
VOI,Eta,0.021,2021-04-25,2021-04-25
VOI,Eta,0.022,2021-05-02,2021-05-02
VOI,Eta,0.015,2021-05-09,2021-05-09
VOI,Eta,0.011,2021-05-16,2021-05-16
VOI,Eta,0.009,2021-05-23,2021-05-23
VOI,Eta,0.004,2021-05-30,2021-05-30
VOI,Eta,0.016,2021-06-06,2021-06-06
VOI,Eta,0.018,2021-06-13,2021-06-13
VOI,Eta,0.015,2021-06-20,2021-06-20
VOI,Eta,0.002,2021-06-27,2021-06-27
VOI,Eta,0.002,2021-07-04,2021-07-04
VOI,Eta,0.002,2021-07-11,2021-07-11
VOI,Eta,0.0,2021-07-18,2021-07-18
VOI,Eta,0.0,2021-07-25,2021-07-25
VOI,Eta,0.0,2021-08-01,2021-08-01
VOI,Eta,0.0,2021-08-08,2021-08-08
VOI,Eta,0.0,2021-08-15,2021-08-15
VOI,Eta,0.0,2021-08-22,2021-08-22
VOI,Eta,0.0,2021-08-29,2021-08-29
VOI,Eta,0.0,2021-09-05,2021-09-05
VOI,Eta,0.0,2021-09-12,2021-09-12
VOI,Eta,0.0,2021-09-19,2021-09-19
VOI,Eta,0.0,2021-09-26,2021-09-26
VOI,Eta,0.0,2021-10-03,2021-10-03
VOI,Eta,0.0,2021-10-10,2021-10-10
VOI,Eta,0.0,2021-10-17,2021-10-17
VOI,Eta,0.0,2021-10-24,2021-10-24
VOI,Eta,0.0,2021-10-31,2021-10-31
VOI,Eta,0.0,2021-11-14,2021-11-14
VOI,Eta,0.0,2021-11-07,2021-11-07
VOI,Eta,0.0,2021-11-21,2021-11-21
VOI,Eta,0.0,2021-11-28,2021-11-28
VOI,Eta,0.0,2021-12-05,2021-12-05
VOI,Eta,0.0,2021-12-12,2021-12-12
VOI,Eta,0.0,2021-12-19,2021-12-19
VOI,Eta,0.0,2021-12-26,2021-12-26
VOI,Iota,0.0,2021-01-03,2021-01-03
VOI,Iota,0.0,2021-01-10,2021-01-10
VOI,Iota,0.0,2021-01-17,2021-01-17
VOI,Iota,0.0,2021-01-24,2021-01-24
VOI,Iota,0.0,2021-01-31,2021-01-31
VOI,Iota,0.0,2021-02-07,2021-02-07
VOI,Iota,0.0,2021-02-14,2021-02-14
VOI,Iota,0.0,2021-02-21,2021-02-21
VOI,Iota,0.0,2021-02-28,2021-02-28
VOI,Iota,0.001,2021-03-07,2021-03-07
VOI,Iota,0.003,2021-03-14,2021-03-14
VOI,Iota,0.002,2021-03-21,2021-03-21
VOI,Iota,0.004,2021-03-28,2021-03-28
VOI,Iota,0.004,2021-04-04,2021-04-04
VOI,Iota,0.004,2021-04-11,2021-04-11
VOI,Iota,0.007,2021-04-18,2021-04-18
VOI,Iota,0.005,2021-04-25,2021-04-25
VOI,Iota,0.003,2021-05-02,2021-05-02
VOI,Iota,0.004,2021-05-09,2021-05-09
VOI,Iota,0.006,2021-05-16,2021-05-16
VOI,Iota,0.011,2021-05-23,2021-05-23
VOI,Iota,0.008,2021-05-30,2021-05-30
VOI,Iota,0.009,2021-06-06,2021-06-06
VOI,Iota,0.004,2021-06-13,2021-06-13
VOI,Iota,0.006,2021-06-20,2021-06-20
VOI,Iota,0.004,2021-06-27,2021-06-27
VOI,Iota,0.003,2021-07-04,2021-07-04
VOI,Iota,0.007,2021-07-11,2021-07-11
VOI,Iota,0.0,2021-07-18,2021-07-18
VOI,Iota,0.001,2021-07-25,2021-07-25
VOI,Iota,0.0,2021-08-01,2021-08-01
VOI,Iota,0.0,2021-08-08,2021-08-08
VOI,Iota,0.0,2021-08-15,2021-08-15
VOI,Iota,0.0,2021-08-22,2021-08-22
VOI,Iota,0.0,2021-08-29,2021-08-29
VOI,Iota,0.0,2021-09-05,2021-09-05
VOI,Iota,0.0,2021-09-12,2021-09-12
VOI,Iota,0.0,2021-09-19,2021-09-19
VOI,Iota,0.0,2021-09-26,2021-09-26
VOI,Iota,0.0,2021-10-03,2021-10-03
VOI,Iota,0.0,2021-10-10,2021-10-10
VOI,Iota,0.0,2021-10-17,2021-10-17
VOI,Iota,0.0,2021-10-24,2021-10-24
VOI,Iota,0.0,2021-10-31,2021-10-31
VOI,Iota,0.0,2021-11-14,2021-11-14
VOI,Iota,0.0,2021-11-07,2021-11-07
VOI,Iota,0.0,2021-11-21,2021-11-21
VOI,Iota,0.0,2021-11-28,2021-11-28
VOI,Iota,0.0,2021-12-05,2021-12-05
VOI,Iota,0.0,2021-12-12,2021-12-12
VOI,Iota,0.0,2021-12-19,2021-12-19
VOI,Iota,0.0,2021-12-26,2021-12-26
VOI,Lambda,0.0,2021-01-03,2021-01-03
VOI,Lambda,0.0,2021-01-10,2021-01-10
VOI,Lambda,0.0,2021-01-17,2021-01-17
VOI,Lambda,0.0,2021-01-24,2021-01-24
VOI,Lambda,0.0,2021-01-31,2021-01-31
VOI,Lambda,0.0,2021-02-07,2021-02-07
VOI,Lambda,0.0,2021-02-14,2021-02-14
VOI,Lambda,0.0,2021-02-21,2021-02-21
VOI,Lambda,0.0,2021-02-28,2021-02-28
VOI,Lambda,0.0,2021-03-07,2021-03-07
VOI,Lambda,0.002,2021-03-14,2021-03-14
VOI,Lambda,0.001,2021-03-21,2021-03-21
VOI,Lambda,0.001,2021-03-28,2021-03-28
VOI,Lambda,0.001,2021-04-04,2021-04-04
VOI,Lambda,0.0,2021-04-11,2021-04-11
VOI,Lambda,0.001,2021-04-18,2021-04-18
VOI,Lambda,0.0,2021-04-25,2021-04-25
VOI,Lambda,0.0,2021-05-02,2021-05-02
VOI,Lambda,0.001,2021-05-09,2021-05-09
VOI,Lambda,0.0,2021-05-16,2021-05-16
VOI,Lambda,0.0,2021-05-23,2021-05-23
VOI,Lambda,0.0,2021-05-30,2021-05-30
VOI,Lambda,0.0,2021-06-06,2021-06-06
VOI,Lambda,0.0,2021-06-13,2021-06-13
VOI,Lambda,0.0,2021-06-20,2021-06-20
VOI,Lambda,0.0,2021-06-27,2021-06-27
VOI,Lambda,0.001,2021-07-04,2021-07-04
VOI,Lambda,0.005,2021-07-11,2021-07-11
VOI,Lambda,0.0,2021-07-18,2021-07-18
VOI,Lambda,0.0,2021-07-25,2021-07-25
VOI,Lambda,0.0,2021-08-01,2021-08-01
VOI,Lambda,0.0,2021-08-08,2021-08-08
VOI,Lambda,0.0,2021-08-15,2021-08-15
VOI,Lambda,0.0,2021-08-22,2021-08-22
VOI,Lambda,0.0,2021-08-29,2021-08-29
VOI,Lambda,0.0,2021-09-05,2021-09-05
VOI,Lambda,0.0,2021-09-12,2021-09-12
VOI,Lambda,0.0,2021-09-19,2021-09-19
VOI,Lambda,0.0,2021-09-26,2021-09-26
