grouping,identifier,percentage,week,YMD
VOC,Beta,0.006,2020-12-20,2020-12-20
VOC,Beta,0.002,2020-12-27,2020-12-27
VOC,Beta,0.007,2021-01-03,2021-01-03
VOC,Beta,0.009,2021-01-10,2021-01-10
VOC,Beta,0.005,2021-01-17,2021-01-17
VOC,Beta,0.007,2021-01-24,2021-01-24
VOC,Beta,0.009,2021-01-31,2021-01-31
VOC,Beta,0.017,2021-02-07,2021-02-07
VOC,Beta,0.011,2021-02-14,2021-02-14
VOC,Beta,0.017,2021-02-21,2021-02-21
VOC,Beta,0.008,2021-02-28,2021-02-28
VOC,Beta,0.009,2021-03-07,2021-03-07
VOC,Beta,0.015,2021-03-14,2021-03-14
VOC,Beta,0.019,2021-03-21,2021-03-21
VOC,Beta,0.02,2021-03-28,2021-03-28
VOC,Beta,0.027000000000000003,2021-04-04,2021-04-04
VOC,Beta,0.017,2021-04-11,2021-04-11
VOC,Beta,0.012,2021-04-18,2021-04-18
VOC,Beta,0.016,2021-04-25,2021-04-25
VOC,Beta,0.009,2021-05-02,2021-05-02
VOC,Beta,0.008,2021-05-09,2021-05-09
VOC,Beta,0.01,2021-05-16,2021-05-16
VOC,Beta,0.006,2021-05-23,2021-05-23
VOC,Beta,0.009,2021-05-30,2021-05-30
VOC,Beta,0.006,2021-06-06,2021-06-06
VOC,Beta,0.004,2021-06-13,2021-06-13
VOC,Beta,0.008,2021-06-20,2021-06-20
VOC,Beta,0.007,2021-06-27,2021-06-27
VOC,Beta,0.005,2021-07-04,2021-07-04
VOC,Beta,0.002,2021-07-11,2021-07-11
VOC,Beta,0.002,2021-07-18,2021-07-18
VOC,Beta,0.001,2021-07-25,2021-07-25
VOC,Beta,0.0,2021-08-01,2021-08-01
VOC,Beta,0.0,2021-08-08,2021-08-08
VOC,Beta,0.0,2021-08-15,2021-08-15
VOC,Beta,0.0,2021-08-22,2021-08-22
VOC,Beta,0.0,2021-08-29,2021-08-29
VOC,Beta,0.0,2021-09-05,2021-09-05
VOC,Beta,0.0,2021-09-12,2021-09-12
VOC,Beta,0.0,2021-09-19,2021-09-19
VOC,Beta,0.0,2021-09-26,2021-09-26
VOC,Beta,0.0,2021-10-03,2021-10-03
VOC,Beta,0.0,2021-10-10,2021-10-10
VOC,Beta,0.0,2021-10-24,2021-10-24
VOC,Beta,0.001,2020-11-22,2020-11-22
VOC,Beta,0.0,2021-10-17,2021-10-17
VOC,Beta,0.0,2021-10-31,2021-10-31
VOC,Beta,0.0,2021-11-07,2021-11-07
VOC,Beta,0.0,2021-11-14,2021-11-14
VOC,Beta,0.0,2020-03-08,2020-03-08
VOC,Beta,0.0,2020-03-15,2020-03-15
VOC,Beta,0.0,2020-03-22,2020-03-22
VOC,Beta,0.0,2020-03-29,2020-03-29
VOC,Beta,0.0,2020-04-12,2020-04-12
VOC,Beta,0.0,2020-04-26,2020-04-26
VOC,Beta,0.0,2020-05-03,2020-05-03
VOC,Beta,0.0,2020-08-02,2020-08-02
VOC,Beta,0.0,2020-08-09,2020-08-09
VOC,Beta,0.0,2020-08-23,2020-08-23
VOC,Beta,0.0,2019-12-29,2019-12-29
VOC,Beta,0.0,2020-03-01,2020-03-01
VOC,Beta,0.0,2020-11-15,2020-11-15
VOC,Beta,0.0,2020-12-06,2020-12-06
VOC,Beta,0.0,2020-06-07,2020-06-07
VOC,Beta,0.0,2020-07-26,2020-07-26
VOC,Beta,0.0,2020-10-25,2020-10-25
VOC,Beta,0.0,2020-07-19,2020-07-19
VOC,Beta,0.0,2020-08-16,2020-08-16
VOC,Beta,0.0,2020-08-30,2020-08-30
VOC,Beta,0.0,2020-09-06,2020-09-06
VOC,Beta,0.0,2020-09-13,2020-09-13
VOC,Beta,0.0,2020-09-20,2020-09-20
VOC,Beta,0.0,2020-09-27,2020-09-27
VOC,Beta,0.0,2020-10-04,2020-10-04
VOC,Beta,0.0,2020-10-11,2020-10-11
VOC,Beta,0.0,2020-10-18,2020-10-18
VOC,Beta,0.0,2020-05-24,2020-05-24
VOC,Beta,0.0,2020-06-14,2020-06-14
VOC,Beta,0.0,2020-06-21,2020-06-21
VOC,Beta,0.0,2020-06-28,2020-06-28
VOC,Beta,0.0,2020-07-05,2020-07-05
VOC,Beta,0.0,2020-07-12,2020-07-12
VOC,Beta,0.0,2020-02-09,2020-02-09
VOC,Beta,0.0,2020-02-23,2020-02-23
VOC,Delta,0.0,2020-04-05,2020-04-05
VOC,Delta,0.0,2020-04-19,2020-04-19
VOC,Delta,0.0,2020-05-10,2020-05-10
VOC,Delta,0.0,2020-05-17,2020-05-17
VOC,Delta,0.0,2020-05-31,2020-05-31
VOC,Delta,0.0,2020-11-01,2020-11-01
VOC,Delta,0.0,2020-11-08,2020-11-08
VOC,Delta,0.0,2020-11-29,2020-11-29
VOC,Delta,0.0,2020-12-13,2020-12-13
VOC,Delta,0.0,2020-12-20,2020-12-20
VOC,Delta,0.0,2020-12-27,2020-12-27
VOC,Delta,0.0,2021-01-03,2021-01-03
VOC,Delta,0.0,2021-01-10,2021-01-10
VOC,Delta,0.0,2021-01-17,2021-01-17
VOC,Delta,0.001,2021-01-24,2021-01-24
VOC,Delta,0.0,2021-01-31,2021-01-31
VOC,Delta,0.0,2021-02-07,2021-02-07
VOC,Delta,0.0,2021-02-14,2021-02-14
VOC,Delta,0.0,2021-02-21,2021-02-21
VOC,Delta,0.0,2021-02-28,2021-02-28
VOC,Delta,0.0,2021-03-07,2021-03-07
VOC,Delta,0.0,2021-03-14,2021-03-14
VOC,Delta,0.001,2021-03-21,2021-03-21
VOC,Delta,0.001,2021-03-28,2021-03-28
VOC,Delta,0.005,2021-04-04,2021-04-04
VOC,Delta,0.016,2021-04-11,2021-04-11
VOC,Delta,0.036,2021-04-18,2021-04-18
VOC,Delta,0.049,2021-04-25,2021-04-25
VOC,Delta,0.051,2021-05-02,2021-05-02
VOC,Delta,0.076,2021-05-09,2021-05-09
VOC,Delta,0.1,2021-05-16,2021-05-16
VOC,Delta,0.131,2021-05-23,2021-05-23
VOC,Delta,0.158,2021-05-30,2021-05-30
VOC,Delta,0.235,2021-06-06,2021-06-06
VOC,Delta,0.353,2021-06-13,2021-06-13
VOC,Delta,0.384,2021-06-20,2021-06-20
VOC,Delta,0.581,2021-06-27,2021-06-27
VOC,Delta,0.648,2021-07-04,2021-07-04
VOC,Delta,0.742,2021-07-11,2021-07-11
VOC,Delta,0.8410000000000001,2021-07-18,2021-07-18
VOC,Delta,0.903,2021-07-25,2021-07-25
VOC,Delta,0.9239999999999999,2021-08-01,2021-08-01
VOC,Delta,0.931,2021-08-08,2021-08-08
VOC,Delta,0.962,2021-08-15,2021-08-15
VOC,Delta,0.9710000000000001,2021-08-22,2021-08-22
VOC,Delta,0.989,2021-08-29,2021-08-29
VOC,Delta,0.9930000000000001,2021-09-05,2021-09-05
VOC,Delta,0.9960000000000001,2021-09-12,2021-09-12
VOC,Delta,0.998,2021-09-19,2021-09-19
VOC,Delta,1.0,2021-09-26,2021-09-26
VOC,Delta,0.997,2021-10-03,2021-10-03
VOC,Delta,0.998,2021-10-10,2021-10-10
VOC,Delta,1.0,2021-10-24,2021-10-24
VOC,Delta,0.0,2020-11-22,2020-11-22
VOC,Delta,0.999,2021-10-17,2021-10-17
VOC,Delta,1.0010000000000001,2021-10-31,2021-10-31
VOC,Delta,1.0,2021-11-07,2021-11-07
VOC,Delta,1.0010000000000001,2021-11-14,2021-11-14
VOC,Delta,0.0,2020-03-08,2020-03-08
VOC,Delta,0.0,2020-03-15,2020-03-15
VOC,Delta,0.0,2020-03-22,2020-03-22
VOC,Delta,0.0,2020-03-29,2020-03-29
VOC,Delta,0.0,2020-04-12,2020-04-12
VOC,Delta,0.0,2020-04-26,2020-04-26
VOC,Delta,0.0,2020-05-03,2020-05-03
VOC,Delta,0.0,2020-08-02,2020-08-02
VOC,Delta,0.0,2020-08-09,2020-08-09
VOC,Delta,0.0,2020-08-23,2020-08-23
VOC,Delta,0.0,2019-12-29,2019-12-29
VOC,Delta,0.0,2020-03-01,2020-03-01
VOC,Delta,0.0,2020-11-15,2020-11-15
VOC,Delta,0.0,2020-12-06,2020-12-06
VOC,Delta,0.0,2020-06-07,2020-06-07
VOC,Delta,0.0,2020-07-26,2020-07-26
VOC,Delta,0.0,2020-10-25,2020-10-25
VOC,Delta,0.0,2020-07-19,2020-07-19
VOC,Delta,0.0,2020-08-16,2020-08-16
VOC,Delta,0.0,2020-08-30,2020-08-30
VOC,Delta,0.0,2020-09-06,2020-09-06
VOC,Delta,0.0,2020-09-13,2020-09-13
VOC,Delta,0.0,2020-09-20,2020-09-20
VOC,Delta,0.0,2020-09-27,2020-09-27
VOC,Delta,0.0,2020-10-04,2020-10-04
VOC,Delta,0.0,2020-10-11,2020-10-11
VOC,Delta,0.0,2020-10-18,2020-10-18
VOC,Delta,0.0,2020-05-24,2020-05-24
VOC,Delta,0.0,2020-06-14,2020-06-14
VOC,Delta,0.0,2020-06-21,2020-06-21
VOC,Delta,0.0,2020-06-28,2020-06-28
VOC,Delta,0.0,2020-07-05,2020-07-05
VOC,Delta,0.0,2020-07-12,2020-07-12
VOC,Delta,0.0,2020-02-09,2020-02-09
VOC,Delta,0.0,2020-02-23,2020-02-23
VOC,Gamma,0.0,2020-04-05,2020-04-05
VOC,Gamma,0.0,2020-04-19,2020-04-19
VOC,Gamma,0.0,2020-05-10,2020-05-10
VOC,Gamma,0.0,2020-05-17,2020-05-17
VOC,Gamma,0.0,2020-05-31,2020-05-31
VOC,Gamma,0.0,2020-11-01,2020-11-01
VOC,Gamma,0.0,2020-11-08,2020-11-08
VOC,Gamma,0.0,2020-11-29,2020-11-29
VOC,Gamma,0.0,2020-12-13,2020-12-13
VOC,Gamma,0.0,2020-12-20,2020-12-20
VOC,Gamma,0.0,2020-12-27,2020-12-27
VOC,Gamma,0.0,2021-01-03,2021-01-03
VOC,Gamma,0.0,2021-01-10,2021-01-10
VOC,Gamma,0.0,2021-01-17,2021-01-17
VOC,Gamma,0.0,2021-01-24,2021-01-24
VOC,Gamma,0.0,2021-01-31,2021-01-31
VOC,Gamma,0.0,2021-02-07,2021-02-07
VOC,Gamma,0.0,2021-02-14,2021-02-14
VOC,Gamma,0.004,2021-02-21,2021-02-21
VOC,Gamma,0.003,2021-02-28,2021-02-28
VOC,Gamma,0.005,2021-03-07,2021-03-07
VOC,Gamma,0.002,2021-03-14,2021-03-14
VOC,Gamma,0.003,2021-03-21,2021-03-21
VOC,Gamma,0.003,2021-03-28,2021-03-28
VOC,Gamma,0.002,2021-04-04,2021-04-04
VOC,Gamma,0.002,2021-04-11,2021-04-11
VOC,Gamma,0.005,2021-04-18,2021-04-18
VOC,Gamma,0.004,2021-04-25,2021-04-25
VOC,Gamma,0.007,2021-05-02,2021-05-02
VOC,Gamma,0.005,2021-05-09,2021-05-09
VOC,Gamma,0.005,2021-05-16,2021-05-16
VOC,Gamma,0.006,2021-05-23,2021-05-23
VOC,Gamma,0.021,2021-05-30,2021-05-30
VOC,Gamma,0.01,2021-06-06,2021-06-06
VOC,Gamma,0.012,2021-06-13,2021-06-13
VOC,Gamma,0.009,2021-06-20,2021-06-20
VOC,Gamma,0.013,2021-06-27,2021-06-27
VOC,Gamma,0.006,2021-07-04,2021-07-04
VOC,Gamma,0.007,2021-07-11,2021-07-11
VOC,Gamma,0.0,2021-07-18,2021-07-18
VOC,Gamma,0.001,2021-07-25,2021-07-25
VOC,Gamma,0.002,2021-08-01,2021-08-01
VOC,Gamma,0.0,2021-08-08,2021-08-08
VOC,Gamma,0.0,2021-08-15,2021-08-15
VOC,Gamma,0.0,2021-08-22,2021-08-22
VOC,Gamma,0.0,2021-08-29,2021-08-29
VOC,Gamma,0.0,2021-09-05,2021-09-05
VOC,Gamma,0.0,2021-09-12,2021-09-12
VOC,Gamma,0.0,2021-09-19,2021-09-19
VOC,Gamma,0.0,2021-09-26,2021-09-26
VOC,Gamma,0.0,2021-10-03,2021-10-03
VOC,Gamma,0.0,2021-10-10,2021-10-10
VOC,Gamma,0.0,2021-10-24,2021-10-24
VOC,Gamma,0.0,2020-11-22,2020-11-22
VOC,Gamma,0.0,2021-10-17,2021-10-17
VOC,Gamma,0.0,2021-10-31,2021-10-31
VOC,Gamma,0.0,2021-11-07,2021-11-07
VOC,Gamma,0.0,2021-11-14,2021-11-14
VOC,Gamma,0.0,2020-03-08,2020-03-08
VOC,Gamma,0.0,2020-03-15,2020-03-15
VOC,Gamma,0.0,2020-03-22,2020-03-22
VOC,Gamma,0.0,2020-03-29,2020-03-29
VOC,Gamma,0.0,2020-04-12,2020-04-12
VOC,Gamma,0.0,2020-04-26,2020-04-26
VOC,Gamma,0.0,2020-05-03,2020-05-03
VOC,Gamma,0.0,2020-08-02,2020-08-02
VOC,Gamma,0.0,2020-08-09,2020-08-09
VOC,Gamma,0.0,2020-08-23,2020-08-23
VOC,Gamma,0.0,2019-12-29,2019-12-29
VOC,Gamma,0.0,2020-03-01,2020-03-01
VOC,Gamma,0.0,2020-11-15,2020-11-15
VOC,Gamma,0.0,2020-12-06,2020-12-06
VOC,Gamma,0.0,2020-06-07,2020-06-07
VOC,Gamma,0.0,2020-07-26,2020-07-26
VOC,Gamma,0.0,2020-10-25,2020-10-25
VOC,Gamma,0.0,2020-07-19,2020-07-19
VOC,Gamma,0.0,2020-08-16,2020-08-16
VOC,Gamma,0.0,2020-08-30,2020-08-30
VOC,Gamma,0.0,2020-09-06,2020-09-06
VOC,Gamma,0.0,2020-09-13,2020-09-13
VOC,Gamma,0.0,2020-09-20,2020-09-20
VOC,Gamma,0.0,2020-09-27,2020-09-27
VOC,Gamma,0.0,2020-10-04,2020-10-04
VOC,Gamma,0.0,2020-10-11,2020-10-11
VOC,Gamma,0.0,2020-10-18,2020-10-18
VOC,Gamma,0.0,2020-05-24,2020-05-24
VOC,Gamma,0.0,2020-06-14,2020-06-14
VOC,Gamma,0.0,2020-06-21,2020-06-21
VOC,Gamma,0.0,2020-06-28,2020-06-28
VOC,Gamma,0.0,2020-07-05,2020-07-05
VOC,Gamma,0.0,2020-07-12,2020-07-12
VOC,Gamma,0.0,2020-02-09,2020-02-09
VOC,Gamma,0.0,2020-02-23,2020-02-23
VOI,B.1.1.318,0.0,2020-04-05,2020-04-05
VOI,B.1.1.318,0.0,2020-04-19,2020-04-19
VOI,B.1.1.318,0.0,2020-05-10,2020-05-10
VOI,B.1.1.318,0.0,2020-05-17,2020-05-17
VOI,B.1.1.318,0.0,2020-05-31,2020-05-31
VOI,B.1.1.318,0.0,2020-11-01,2020-11-01
VOI,B.1.1.318,0.0,2020-11-08,2020-11-08
VOI,B.1.1.318,0.0,2020-11-29,2020-11-29
VOI,B.1.1.318,0.0,2020-12-13,2020-12-13
VOI,B.1.1.318,0.0,2020-12-20,2020-12-20
VOI,B.1.1.318,0.0,2020-12-27,2020-12-27
VOI,B.1.1.318,0.0,2021-01-03,2021-01-03
VOI,B.1.1.318,0.0,2021-01-10,2021-01-10
VOI,B.1.1.318,0.0,2021-01-17,2021-01-17
VOI,B.1.1.318,0.0,2021-01-24,2021-01-24
VOI,B.1.1.318,0.001,2021-01-31,2021-01-31
VOI,B.1.1.318,0.001,2021-02-07,2021-02-07
VOI,B.1.1.318,0.002,2021-02-14,2021-02-14
VOI,B.1.1.318,0.001,2021-02-21,2021-02-21
VOI,B.1.1.318,0.003,2021-02-28,2021-02-28
VOI,B.1.1.318,0.004,2021-03-07,2021-03-07
VOI,B.1.1.318,0.007,2021-03-14,2021-03-14
VOI,B.1.1.318,0.013000000000000001,2021-03-21,2021-03-21
VOI,B.1.1.318,0.022,2021-03-28,2021-03-28
VOI,B.1.1.318,0.023000000000000003,2021-04-04,2021-04-04
VOI,B.1.1.318,0.019,2021-04-11,2021-04-11
VOI,B.1.1.318,0.013000000000000001,2021-04-18,2021-04-18
VOI,B.1.1.318,0.013000000000000001,2021-04-25,2021-04-25
VOI,B.1.1.318,0.015,2021-05-02,2021-05-02
VOI,B.1.1.318,0.006,2021-05-09,2021-05-09
VOI,B.1.1.318,0.013000000000000001,2021-05-16,2021-05-16
VOI,B.1.1.318,0.007,2021-05-23,2021-05-23
VOI,B.1.1.318,0.008,2021-05-30,2021-05-30
VOI,B.1.1.318,0.012,2021-06-06,2021-06-06
VOI,B.1.1.318,0.009,2021-06-13,2021-06-13
VOI,B.1.1.318,0.011,2021-06-20,2021-06-20
VOI,B.1.1.318,0.007,2021-06-27,2021-06-27
VOI,B.1.1.318,0.002,2021-07-04,2021-07-04
VOI,B.1.1.318,0.002,2021-07-11,2021-07-11
VOI,B.1.1.318,0.005,2021-07-18,2021-07-18
VOI,B.1.1.318,0.002,2021-07-25,2021-07-25
VOI,B.1.1.318,0.0,2021-08-01,2021-08-01
VOI,B.1.1.318,0.0,2021-08-08,2021-08-08
VOI,B.1.1.318,0.0,2021-08-15,2021-08-15
VOI,B.1.1.318,0.0,2021-08-22,2021-08-22
VOI,B.1.1.318,0.0,2021-08-29,2021-08-29
VOI,B.1.1.318,0.0,2021-09-05,2021-09-05
VOI,B.1.1.318,0.0,2021-09-12,2021-09-12
VOI,B.1.1.318,0.0,2021-09-19,2021-09-19
VOI,B.1.1.318,0.0,2021-09-26,2021-09-26
VOI,B.1.1.318,0.0,2021-10-03,2021-10-03
VOI,B.1.1.318,0.0,2021-10-10,2021-10-10
VOI,B.1.1.318,0.0,2021-10-24,2021-10-24
VOI,B.1.1.318,0.0,2020-11-22,2020-11-22
VOI,B.1.1.318,0.0,2021-10-17,2021-10-17
VOI,B.1.1.318,0.0,2021-10-31,2021-10-31
VOI,B.1.1.318,0.0,2021-11-07,2021-11-07
VOI,B.1.1.318,0.0,2021-11-14,2021-11-14
VOI,B.1.1.318,0.0,2020-03-08,2020-03-08
VOI,B.1.1.318,0.0,2020-03-15,2020-03-15
VOI,B.1.1.318,0.0,2020-03-22,2020-03-22
VOI,B.1.1.318,0.0,2020-03-29,2020-03-29
VOI,B.1.1.318,0.0,2020-04-12,2020-04-12
VOI,B.1.1.318,0.0,2020-04-26,2020-04-26
VOI,B.1.1.318,0.0,2020-05-03,2020-05-03
VOI,B.1.1.318,0.0,2020-08-02,2020-08-02
VOI,B.1.1.318,0.0,2020-08-09,2020-08-09
VOI,B.1.1.318,0.0,2020-08-23,2020-08-23
VOI,B.1.1.318,0.0,2019-12-29,2019-12-29
VOI,B.1.1.318,0.0,2020-03-01,2020-03-01
VOI,B.1.1.318,0.0,2020-11-15,2020-11-15
VOI,B.1.1.318,0.0,2020-12-06,2020-12-06
VOI,B.1.1.318,0.0,2020-06-07,2020-06-07
VOI,B.1.1.318,0.0,2020-07-26,2020-07-26
VOI,B.1.1.318,0.0,2020-10-25,2020-10-25
VOI,B.1.1.318,0.0,2020-07-19,2020-07-19
VOI,B.1.1.318,0.0,2020-08-16,2020-08-16
VOI,B.1.1.318,0.0,2020-08-30,2020-08-30
VOI,B.1.1.318,0.0,2020-09-06,2020-09-06
VOI,B.1.1.318,0.0,2020-09-13,2020-09-13
VOI,B.1.1.318,0.0,2020-09-20,2020-09-20
VOI,B.1.1.318,0.0,2020-09-27,2020-09-27
VOI,B.1.1.318,0.0,2020-10-04,2020-10-04
VOI,B.1.1.318,0.0,2020-10-11,2020-10-11
VOI,B.1.1.318,0.0,2020-10-18,2020-10-18
VOI,B.1.1.318,0.0,2020-05-24,2020-05-24
VOI,B.1.1.318,0.0,2020-06-14,2020-06-14
VOI,B.1.1.318,0.0,2020-06-21,2020-06-21
VOI,B.1.1.318,0.0,2020-06-28,2020-06-28
VOI,B.1.1.318,0.0,2020-07-05,2020-07-05
VOI,B.1.1.318,0.0,2020-07-12,2020-07-12
VOI,B.1.1.318,0.0,2020-02-09,2020-02-09
VOI,B.1.1.318,0.0,2020-02-23,2020-02-23
VOI,B.1.617.3,0.0,2020-04-05,2020-04-05
VOI,B.1.617.3,0.0,2020-04-19,2020-04-19
VOI,B.1.617.3,0.0,2020-05-10,2020-05-10
VOI,B.1.617.3,0.0,2020-05-17,2020-05-17
VOI,B.1.617.3,0.0,2020-05-31,2020-05-31
VOI,B.1.617.3,0.0,2020-11-01,2020-11-01
VOI,B.1.617.3,0.0,2020-11-08,2020-11-08
VOI,B.1.617.3,0.0,2020-11-29,2020-11-29
VOI,B.1.617.3,0.0,2020-12-13,2020-12-13
VOI,B.1.617.3,0.0,2020-12-20,2020-12-20
VOI,B.1.617.3,0.0,2020-12-27,2020-12-27
VOI,B.1.617.3,0.0,2021-01-03,2021-01-03
VOI,B.1.617.3,0.0,2021-01-10,2021-01-10
VOI,B.1.617.3,0.0,2021-01-17,2021-01-17
VOI,B.1.617.3,0.0,2021-01-24,2021-01-24
VOI,B.1.617.3,0.0,2021-01-31,2021-01-31
VOI,B.1.617.3,0.0,2021-02-07,2021-02-07
VOI,B.1.617.3,0.0,2021-02-14,2021-02-14
VOI,B.1.617.3,0.0,2021-02-21,2021-02-21
VOI,B.1.617.3,0.0,2021-02-28,2021-02-28
VOI,B.1.617.3,0.0,2021-03-07,2021-03-07
VOI,B.1.617.3,0.0,2021-03-14,2021-03-14
VOI,B.1.617.3,0.0,2021-03-21,2021-03-21
VOI,B.1.617.3,0.0,2021-03-28,2021-03-28
VOI,B.1.617.3,0.0,2021-04-04,2021-04-04
VOI,B.1.617.3,0.0,2021-04-11,2021-04-11
VOI,B.1.617.3,0.0,2021-04-18,2021-04-18
VOI,B.1.617.3,0.0,2021-04-25,2021-04-25
VOI,B.1.617.3,0.0,2021-05-02,2021-05-02
VOI,B.1.617.3,0.0,2021-05-09,2021-05-09
VOI,B.1.617.3,0.0,2021-05-16,2021-05-16
VOI,B.1.617.3,0.0,2021-05-23,2021-05-23
VOI,B.1.617.3,0.0,2021-05-30,2021-05-30
VOI,B.1.617.3,0.0,2021-06-06,2021-06-06
VOI,B.1.617.3,0.0,2021-06-13,2021-06-13
VOI,B.1.617.3,0.0,2021-06-20,2021-06-20
VOI,B.1.617.3,0.0,2021-06-27,2021-06-27
VOI,B.1.617.3,0.0,2021-07-04,2021-07-04
VOI,B.1.617.3,0.0,2021-07-11,2021-07-11
VOI,B.1.617.3,0.0,2021-07-18,2021-07-18
